ds,yhat,yhat_lower,yhat_upper
2023-05-21,3598.448773490015,3592.9247258535065,3604.235603797573
2023-05-22,3602.1864432499297,3597.2765273594873,3607.824602969082
2023-05-23,3605.8724193212574,3600.2569500095833,3611.410074039926
2023-05-24,3609.4814714607082,3604.1090241083884,3615.1362918259647
2023-05-25,3613.1114675158237,3607.717912750531,3618.434580486968
2023-05-26,3616.667909986353,3611.158498222108,3622.0796995064675
2023-05-27,3619.3952919090866,3613.736138182109,3624.711804908775
2023-05-28,3623.493435642813,3618.264829123715,3628.971862941265
2023-05-29,3627.2311054027273,3621.5410847744556,3632.5699222840694
2023-05-30,3630.8711306899936,3625.526422811938,3636.226790515464
2023-05-31,3634.434232045386,3629.101356961915,3639.4922060718645
2023-06-01,3638.018277316442,3632.6500072093986,3643.43096625081
2023-06-02,3641.5287690029095,3636.1979703594125,3646.9594065121005
2023-06-03,3644.2102001415824,3638.7723415382357,3649.6319802474627
2023-06-04,3648.26239309125,3642.490008374292,3654.0593930904065
2023-06-05,3651.9541120671033,3646.671293460298,3657.2212468789435
2023-06-06,3655.59413735437,3650.150990793197,3661.33681534242
2023-06-07,3659.1572387097617,3653.4467451899154,3664.6905999187106
2023-06-08,3662.7412839808167,3656.960576999625,3668.170504014053
2023-06-09,3666.2517756672846,3661.335117197553,3671.9974966401787
2023-06-10,3668.9332068059584,3663.193455413008,3674.4170192401766
2023-06-11,3672.9853997556243,3667.7406585585413,3678.531737117635
2023-06-12,3676.6771187314785,3671.2424287605468,3682.28598360187
2023-06-13,3680.3171440187457,3675.139868934786,3686.0327611217053
2023-06-14,3683.880245374138,3678.697162781633,3688.8039664292132
2023-06-15,3687.4642906451927,3682.129683498733,3693.1288025845693
2023-06-16,3690.974782331663,3685.534033626613,3696.3187967165195
2023-06-17,3693.6562134703336,3688.55302153825,3699.3101268214455
2023-06-18,3697.7084064200003,3692.5594042944285,3703.2548340698777
2023-06-19,3701.400125395856,3695.8505894081864,3707.177182519988
